ID,var_rpta_alt,Prob_uno
61793#499658#580684,0,0.2455
434373#1076303#4039,1,0.7886
379328#503025#577317,0,0.3257
407180#721067#359275,0,0.1506
478314#654725#425617,1,0.6937
473949#652941#427401,1,0.6617
614865#294889#788205,0,0.2807
376761#1076872#3470,0,0.2411
506826#825365#254977,0,0.4864
551002#781436#298906,1,0.6857
536126#672110#408232,1,0.5894
419283#890326#190016,1,0.7185
182506#977773#102569,1,0.5908
35068#148917#939176,1,0.6161
91612#662360#417982,0,0.2612
197005#990333#90009,1,0.6728
167833#526766#553576,0,0.3242
269520#708267#372075,1,0.5949
35537#481404#598938,1,0.514
275839#178824#909299,1,0.5689
426687#944113#136229,0,0.488
433282#821743#258599,0,0.3377
436738#557083#523259,0,0.0819
255862#852019#228323,1,0.7252
435637#773648#306694,0,0.2379
537773#671709#408633,0,0.3171
602065#253315#829685,1,0.6006
86872#234432#848425,0,0.2213
269855#970864#109478,0,0.4808
494341#368238#711622,0,0.4402
205166#885749#194593,0,0.2889
65325#419968#660024,1,0.5698
25405#1060950#19392,1,0.5289
164161#846171#234171,1,0.6048
348754#377161#702696,0,0.2804
311867#990982#89360,0,0.4517
326172#398125#681777,1,0.5024
568724#198794#889470,1,0.5674
95461#887072#193270,0,0.3071
58653#843434#236908,1,0.5953
183167#339126#741518,1,0.6043
380595#109373#978425,1,0.5183
372380#270625#812380,0,0.3091
167842#955544#124798,0,0.1426
158102#434147#646013,0,0.2642
146923#604621#475721,0,0.1657
166889#1074789#5553,0,0.4799
221229#1061358#18984,0,0.116
127735#663023#417319,1,0.6165
302732#6730#1074865,0,0.469
522459#248319#834680,0,0.3499
299333#118368#969464,0,0.4149
178481#460356#619980,0,0.367
102397#1026720#53622,1,0.817
581021#387815#692039,1,0.5534
399272#385734#694118,0,0.4916
86251#774995#305347,0,0.2574
53780#618976#461366,0,0.0832
254199#959341#121001,0,0.403
217217#752358#327984,0,0.4114
21732#626572#453770,0,0.4082
54870#16169#1072906,0,0.1109
333468#385696#694156,1,0.6265
465084#947319#133023,0,0.4032
386000#400018#679891,0,0.422
105477#985379#94963,0,0.4307
250901#97429#990337,1,0.6399
